num_med,Rplat,T
1,108.06791410555984,20.71260027066623
2,108.10870153676963,20.817183427614417
3,108.10947024094165,20.819154463952923
4,108.10241648274932,20.801067904485418
5,108.12243131121397,20.852387977471707
6,108.11629515679527,20.836654248192996
7,108.07478959036135,20.730229718875236
8,108.08474991139136,20.75576900356756
9,108.08251081434226,20.750027729082692
10,108.11127719163345,20.823787670854976
11,108.09156607163366,20.7732463375222
12,108.11152979794039,20.82443537933432
13,108.11141334442347,20.824136780572978
14,108.1075334086569,20.81418822732538
15,108.09363685063431,20.77855602726745
16,107.98570267182352,20.501801722624386
17,108.04858131624815,20.66302901602087
18,108.11326538295157,20.828885597311693
19,108.284088228907,21.266892894633312
20,108.26327437835145,21.213524047055
21,108.47788309869664,21.763802817170873
22,108.57902238214525,22.023134313192976
23,108.45623953620311,21.708306503084916
24,108.66095727929154,22.23322379305524
25,108.65915278189193,22.228596876645998
26,108.81051347856051,22.616701227078245
27,108.80015307415812,22.590136087584934
28,109.01926734518013,23.151967551743926
29,109.11243356305249,23.390855289878196
30,109.07898954638115,23.30510140097733
31,109.13716418378677,23.454267137914798
32,109.09553653025748,23.347529564762777
33,109.33552095800522,23.96287425129545
34,109.32340700240394,23.931812826676783
35,109.47651069956311,24.33292289358713
36,109.43662018189524,24.227947847092736
37,109.45097352635128,24.26571980618758
38,109.61358695573746,24.69364988351963
39,109.5060382548962,24.410626986568943
40,109.62959003406421,24.735763247537385
41,109.62479586943239,24.723147024822076
42,109.65135921553835,24.793050567206176
43,109.78321937707108,25.13645994120788
44,109.80732707386427,25.198274548369916
45,109.77523682946483,25.115991870422633
46,109.76563150282726,25.0913628277622
47,109.81227145114718,25.21095243883892
48,109.92270151957447,25.49410646044736
49,109.98279039065474,25.6481804888583
50,110.02081576816738,25.745681456839428
51,109.95043196383274,25.565210163673687
52,110.02358140784952,25.752772840639782
53,109.96505656701761,25.602709146198993
54,110.12968283324722,26.024827777556954
55,110.09683070789887,25.940591558715052
56,109.96576393616833,25.604522913252115
57,110.04395166446061,25.8050042678477
58,110.08141852773055,25.901073148027034
59,109.95303977932667,25.571896870068382
60,109.93438022773154,25.52405186597829
61,109.81233869060189,25.211124847697146
62,109.83326965537765,25.264793988147808
63,109.97704339299058,25.633444597411735
64,109.7677611538519,25.0968234714151
65,109.93327925033094,25.5212288470024
66,109.73847342391323,25.021726727982642
67,109.83394614070016,25.266528565897843
68,109.80418232697306,25.190211094802713
69,109.75397318931336,25.061469716188082
70,109.73867292286586,25.022238263758602
71,109.6485726220441,24.785717426431837
72,109.71278707527313,24.954702829666115
73,109.50609008847752,24.410763390730324
74,109.59474800561992,24.644073698999787
75,109.57342010524712,24.587947645387167
76,109.52043206512532,24.44850543454032
77,109.60181145850727,24.662661732913868
78,109.54240716325825,24.506334640153284
79,109.47744421200836,24.33537950528518
80,109.51154395782528,24.42511567848759
81,109.42931711913636,24.20872926088516
82,109.2837812123511,23.83020823679771
83,109.36260422326285,24.03316900858646
84,109.24418991086067,23.728692079129935
85,109.25795036059446,23.76397528357556
86,109.19949310996425,23.61408489734425
87,109.22421963322283,23.677486239032913
88,109.24105460665237,23.720652837570192
89,109.20083527922742,23.617526356993398
90,109.25421246886322,23.75439094580313
91,109.1598350700872,23.512397615608215
92,109.24791282077067,23.73823800197608
93,109.17550909619342,23.552587426137
94,109.12475083727567,23.422438044296605
95,109.18998200316955,23.589697444024495
96,109.14565722450642,23.4760441654011
97,109.13263222559779,23.442646732302038
98,109.01112342611042,23.13108570797544
99,109.09869133261016,23.355618801564525
100,109.052542158277,23.237287585325674
101,109.03187020743992,23.184282583179304
102,109.00768394767479,23.122266532499484
103,108.98031760304906,23.052096418074527
104,108.9701346523846,23.02598628816566
105,108.91721677482194,22.89029942262037
106,108.95476693694775,22.986581889609628
107,108.90063345370548,22.847778086424327
108,108.93815521388338,22.943987727906112
109,109.00142941041183,23.10622925746625
