num_med,Rplat,T
1,107.53702977761372,19.35135840413774
2,107.50484474702795,19.268832684687023
3,107.50965047292505,19.281155058782154
4,107.45221736074011,19.133890668564362
5,107.46587511217399,19.168910544035857
6,107.49027485035002,19.231473975256446
7,107.47313394250996,19.187522929512703
8,107.43081398647216,19.079010221723472
9,107.49264153434596,19.237542395758865
10,107.47930385551854,19.20334321927829
11,107.48114687481218,19.208068909774813
12,107.5288436136344,19.330368240088173
13,107.52531902240452,19.321330826678235
14,107.50919478886658,19.27998663811942
15,107.4492115639016,19.126183497183572
16,107.47342634673349,19.18827268393201
17,107.49823406474415,19.251882217292685
18,107.46696586907625,19.171707356605747
19,107.50163068692805,19.26059150494371
20,107.50211374500056,19.26183011538603
21,107.45459762587771,19.139993912506934
22,107.43112872345152,19.079817239619274
23,107.48788539944694,19.225347178069057
24,107.42124289771309,19.054468968495076
25,107.44966261425384,19.12734003654829
26,107.44469473218895,19.114601877407548
27,107.48366461464221,19.214524652928723
28,107.46634554571594,19.170116783887007
29,107.46229715251971,19.15973628851206
30,107.50145304478396,19.260136012266543
31,107.47277488050229,19.186602257698155
32,107.46566287396415,19.1683663434978
33,107.446532340036,19.119313692399988
34,107.44193415019834,19.107523462047
35,107.5048609715763,19.268874286093077
36,107.46609882281851,19.169484161073086
37,107.50430650846886,19.26745258581757
38,107.47508400438429,19.19252308816482
39,107.49919619768441,19.254349224831813
40,107.48700374867876,19.223086535073726
41,107.50362794004977,19.26571266679426
42,107.4826532849675,19.211931499916645
43,107.47310766214422,19.187455543959512
44,107.44918594547318,19.126117808905562
45,107.44860926635232,19.124639144493116
46,107.46165878031277,19.158099436699406
47,107.5101374295123,19.282403665416133
48,107.49252458041737,19.23724251389067
49,107.47954710628923,19.203966939203145
50,107.5108055310959,19.28411674639972
51,107.45150758562977,19.132070732384012
52,107.48013982957077,19.20548674248915
53,107.46999266982651,19.179468384170523
54,107.51120092693884,19.28513058189445
55,107.46779758134284,19.173839952161103
56,107.50363927297482,19.265741725576454
57,107.47415466555502,19.19014016808978
58,107.44476718178845,19.114787645611393
59,107.49595227706902,19.246031479664147
60,107.48005605788559,19.20527194329637
61,107.4725780207957,19.186097489219716
62,107.49855883557406,19.252714963010394
63,107.5049726072548,19.26916053142255
64,107.54752452248395,19.378268006369098
65,107.52223866558985,19.313432475871405
66,107.46991209835261,19.1792617906477
67,107.47766060942081,19.19912976774565
68,107.47728202893184,19.19815904854316
69,107.49935616167858,19.254759388919414
70,107.44286373695428,19.10990701783147
71,107.49742478166841,19.2498071324831
72,107.44986849499773,19.1278679358916
73,107.47049372747941,19.180753147383083
74,107.47732400413781,19.19826667727643
75,107.52666508099648,19.324782258965318
76,107.44837771815143,19.12404543115751
77,107.5266870618064,19.324838620016394
78,107.46339520234298,19.16255180087942
79,107.47034268932678,19.180365870068663
80,107.45460575376995,19.140014753256278
81,107.48625143766445,19.221157532472933
82,107.51850167516314,19.30385044913623
83,107.45641294487417,19.14464857660043
84,107.48599097545319,19.220489680649194
85,107.44920782697932,19.12617391533157
86,107.54406018723962,19.369385095486198
87,107.49235852812225,19.236816738774994
88,107.45215711328274,19.13373618790444
89,107.4893872771284,19.229198146483064
90,107.51376931410786,19.291716190020143
91,107.46812596049494,19.174681949987022
92,107.47047627275353,19.1807083916757
93,107.49814779340629,19.25166100873406
94,107.4321374597429,19.08240374293051
95,107.43745486395403,19.09603811270263
96,107.47298117604181,19.187131220620017
97,107.46504595064802,19.16678448884106
98,107.49010561131264,19.231040029006763
99,107.45225044116752,19.133975490173118
100,107.47219362422666,19.185111856991426
101,107.44100197652362,19.10513327313748
102,107.43969578938578,19.10178407534814
103,107.47414960357386,19.190127188650916
104,107.4987042349644,19.25308778196
105,107.49266234194339,19.237595748572772
106,107.52235758695124,19.313737402439074
107,107.43944261495997,19.10113491015376
108,107.4652218080459,19.167235405245872
109,107.43610886979215,19.092586845620882
110,107.46913872891767,19.177278792096576
111,107.42252258681907,19.057750222612988
112,107.49310724459757,19.23873652460913
113,107.49475383699674,19.242958556401874
114,107.45493611631456,19.140861836703976
115,107.53264665663885,19.340119632407283
116,107.5199224852259,19.30749355186128
117,107.48333616883522,19.213682484192862
118,107.63073773293604,19.5916352126565
119,107.73935567175205,19.870142748082166
120,107.68703671661994,19.73599158107676
121,107.78945666923195,19.99860684418448
122,107.79653115962341,20.01674656313694
123,107.93520769837106,20.37232743172065
124,107.85654645405658,20.170631933478404
125,107.87330903333095,20.21361290597679
126,107.90773158555713,20.30187586040288
127,107.99695894214057,20.530663954206563
128,107.85488115791394,20.166361943369054
129,107.92991432173145,20.358754671106254
130,107.93439750431432,20.37025001106234
131,107.94141352059776,20.388239796404505
132,108.02812689508984,20.610581782281628
133,108.14162065376615,20.901591419913196
134,108.14149890299164,20.901279238440093
135,108.18553686874807,21.014197099354018
136,108.05415647613863,20.67732429779134
137,108.11981535299073,20.8456803922839
138,108.18552074068268,21.01415574534018
139,108.1890085252441,21.023098782677177
140,108.18711866535288,21.0182529880843
141,108.20278592848159,21.058425457645086
142,108.20435990104983,21.06246128474313
143,108.22145606187014,21.106297594538812
