num_med,Rplat
0,107.09225920708046
1,107.09331248055517
2,107.08691175268105
3,107.09615281437941
4,107.08974390502469
5,107.08065075496607
6,107.07266792968271
7,107.07450383743439
8,107.07918158035831
9,107.08259219741832
10,107.07775640392028
11,107.08605462041747
12,107.05808319395405
13,107.08335668047938
14,107.06627528756422
15,107.07413640769109
16,107.06615542247366
17,107.07769643730674
18,107.0567498315584
19,107.07329864158177
